"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",35614.6502785805,36592.6872957285,37570.6915589734,38560.2201269401,39573.9852626435,40618.5236520494,41684.7115230145,42764.9390794571,43851.5399167415,44936.6052141325,46025.3967115304,47123.1325502648,48215.3027506803,49314.0393484162,50391.4425132535
"2",24197.8519733323,24870.2701391306,25540.8978779483,26218.8579152232,26914.161549976,27631.3170181072,28363.2823660291,29104.720069715,29850.249010109,30594.3010203803,31340.5800218815,32092.7559793866,32840.1702722965,33592.7095450568,34329.3896258014
"3",2660.89642068542,2733.36373702819,2805.96399097098,2879.46337606221,2954.70645548194,3032.17648004686,3111.25632162536,3191.39022549309,3272.01860009766,3352.56544949262,3433.41402780089,3514.94466239104,3596.13452070271,3677.76417043807,3757.90440099892
"4",30503.7855097238,31318.975592746,32139.1689064319,32970.6489899326,33820.3937614194,34693.8112814446,35585.485628741,36489.3747089796,37399.4025552238,38309.3490642871,39223.3541106355,40145.5325364489,41065.7331283944,41989.6696945031,42899.2169310045
"5",17001.9159317004,17458.1065303682,17916.6770168695,18381.4233532161,18856.552501204,19345.0942420986,19843.8350253846,20349.3685246464,20858.2683382271,21367.0225716389,21877.9684704223,22393.4283246409,22907.559191913,23423.9257834911,23931.9567336027
"6",49215.8856414944,50552.4250811349,51892.2765396828,53248.9984757061,54637.5488410942,56066.8335185989,57525.84486618,59004.3843137225,60492.1848112879,61978.6866529796,63470.9163077277,64975.8481829255,66474.9500450406,67981.8660946763,69461.8922953605
"7",30028.1568837654,30850.6626880097,31673.614362108,32506.4159288056,33359.4176374365,34238.1129009468,35135.0348171493,36043.8120272788,36958.0268183161,37871.0630389524,38787.3225636322,39711.1716640235,40630.5906419313,41555.368319858,42462.524305297
"8",2785.69912989976,2865.02494128845,2943.71611561083,3023.13077262625,3104.75445669647,3189.1223958936,3275.21962113914,3362.39115408167,3449.97575549187,3537.28524068262,3624.77725204974,3712.90447339713,3800.24597307358,3888.33828127547,3974.27416098075
"9",3400.89262410763,3495.45967301701,3589.7612443713,3685.08943843074,3782.86205388222,3883.71322445383,3986.64664037544,4090.91082798465,4195.74814780612,4300.37449882073,4405.31145726628,4511.07579451447,4616.1632281065,4721.97614890105,4825.54945386652
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",7356.78012342171,7552.98753216835,7750.49036381457,7950.74027983265,8155.35120213504,8365.62406333119,8580.29498916315,8797.91516391023,9017.0278598314,9236.14270704988,9456.25167350179,9678.34090587914,9900.0023390548,10122.5314881336,10341.6587766177
"12",18859.2405721355,19379.1078285933,19898.5190310395,20423.9092749813,20962.3511069031,21517.3225577773,22083.7831124503,22657.661639199,23234.8557519415,23811.1291457565,24389.3000894708,24972.1626858157,25551.8348869734,26135.1488622225,26706.8274600049
